,Polarity,Tweet,Tweet_final_sent_lexicons
147891,0,It's not a good day for work.  I'm messing things up all over the place.  ,not NEG_good NEG_day work messing things place NEGATIVE NEGATIVE NEGATIVE NEGATIVE
374591,1,@muzikfreak147 hahahahahahaa good job. Well u shud just turn around. Say u forgot ur underwear. ,MENTION laaugh good job well shud turn around say forgot ur underwear POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE
679886,1,@lucylumcfly i'm good  are you on?,MENTION good POSITIVE POSITIVE
694101,0,@philgoodman Sorry  I'm really enjoying it...,MENTION sorry really enjoying POSITIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE
632754,0,@portlandriders I am lost. Please help me find a good home. ,MENTION lost please help find good home POSITIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE
457305,1,@zebrakb good. It's driving me crazy ,MENTION good driving crazy POSITIVE POSITIVE
475081,0,Hi Guys  Just a quick line to Wish you all a Safe Ride on the L2P I was with you all last 2 yrs  on the timing  goin to miss a good event ,hi guys quick line wish safe ride last yrs timing goin miss good event POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
326344,0,"@CurmudgeonlyGal Eek. We're very sorry, CG.  Enjoy those good memories!",MENTION sorry cg enjoy good memories POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
757825,1,"The Glee forum has been so quiet lately.... Well good, makes my job easier ",glee forum quiet lately well good makes job easier POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
462790,0,@devon_says didnt feel very good ,MENTION not NEG_feel NEG_very good POSITIVE NEGATIVE POSITIVE NEGATIVE
348948,0,"@Lauradorapercy dont worry, i think everyone found it abit crappy  good luck for you last exam!!!",MENTION not NEG_worry NEG_think everyone found abit crappy good luck last exam POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
48740,1,"Running late, but beautiful sunrise. I hope it's foretelling of the day.  have a good one!",running late beautiful sunrise hope foretelling good one POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
197433,1,thinks girls aloud are amazing live!  such a good night last night.,thinks girls aloud amazing live good night last night POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE
351250,1,@JonathanGunson oldie but a goody ,MENTION oldie goody
563322,0,Day 3 of Atkins - HORRORS! Ran to work and forgot all my &quot;good&quot; food! I can still get a CF salad with grilled chicken.....it will be ok! ,atkins horrors ran work forgot good food still cf salad grilled chicken ok POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
97737,0,@StDAY Horrid? You're crazy! It was good. Really good. I want to read more.  ,MENTION horrid crazy good really good want read POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
500073,1,"@MariahCarey hi ya, hope all is good w/u &amp; your day so far has treated u kind. my half sis has moved back 2 the U.K from U.S.A   kiss kiss",MENTION hi hope good wu far treated kind half sis moved back uk usa kiss kiss POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE
91766,1,"Will be going home soon, popped good lyrical idea  huhuuu",going home soon popped good lyrical idea huhuu POSITIVE POSITIVE
775763,0,@goodgirlgonbad_ awwwwwwww  cheerrr up !,MENTION WEBSITE cheerr
232457,1,"@goodlaura well, actually worked arouned. I wrote a little cache clear tool until I can track down the bug. ",MENTION well actually worked arouned wrote little cache clear tool track bug POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE
622728,0,just saw Up...awww sooo good! and so sad ,saw WEBSITE good sad POSITIVE NEGATIVE POSITIVE NEGATIVE
36471,0,"@pearlz02 Girl, its not even noon yet, that's no good at all ",MENTION girl not NEG_even NEG_noon yet not good POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
183271,0,@kjm001 I am lost. Please help me find a good home. ,MENTION lost please help find good home POSITIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE
452078,1,@roofer_on_fire Oh good. I really got nervous.   Checked your blog . I agree with everything I read there. We have a lot in common,MENTION oh good really got nervous checked blog agree everything read lot WEBSITE mon POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
88121,1,"@mayawesome Well that just shows that presales doesnt mean good seats. ;D and if they put standing in, i'll do that so it wont matter ",MENTION well shows presales not NEG_mean NEG_good seats EMOJI put standing notmatter POSITIVE NEGATIVE POSITIVE NEGATIVE
368406,0,aw man :| i feel so ill and can not find baby wipes to take my makeup off ! i hate sleeping with it on  ... good morning sticky eyes !,aw man feel ill not NEG_find NEG_baby wipes take makeup hate sleeping good morning sticky eyes POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
514230,1,@reallyjustagame people pay good money for that ,MENTION people pay good money POSITIVE NEGATIVE POSITIVE NEGATIVE
147888,0,"@bennadel Of course. Not high on detail but you make good, thought provoking, points. My only regret us that I didn't get a pic with you. ",MENTION course not NEG_high NEG_on detail make good thought provoking points regret us not pic POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
544239,1,@JonathanRKnight Hi Jonathan! I am sure you've been perfect  Have a good night my Knight! I'm glad you enjoyed yourself. Hugs from Hungary,MENTION hi jonathan sure perfect good night knight glad enjoyed hugs hungary POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
237384,1,Jus got home frm wrk! Kinda slow day! Which was  good!!  Nw im gna relax at home!   ,jus got home frm wrk kinda slow good nw gna relax home POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
135044,1,"@BeautyWriter I am writing faster though, so that's a very good thing to happen ",MENTION writing faster though good thing happen POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
248238,1,at kenneth copeland tonight! sooo good!! ,kenneth copeland tonight soo good POSITIVE NEGATIVE POSITIVE NEGATIVE
229643,1,That's all folks!  until next time... Stand &amp; Deliver.. Hahahaha goodnight!,folks next time stand deliver laaugh goodnight POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
412072,1,Hopes one of his good friends is Ok ,hopes one good friends ok POSITIVE NEGATIVE POSITIVE NEGATIVE
419241,1,@larnsriver very good news  LOL. anyways did i mention how i adore my flock browser LOL. can't live w/o ds browser on my pc hahaha!,MENTION good news laugh anyways mention adore flock browser laugh ca not NEG_live NEG_wo ds browser pc laaugh POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
272426,1,"@kristarella Smultron? Hmmm, gonna have to go look for that. Love new goodies! ",MENTION smultron hmm gonna laaughk love new goodies POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
138379,0,"@gfalcone601 you took our good weather! i thought it was going to be sunny this morning, got outside, and i was soaking wet in seconds ",MENTION took good weather thought going sunny morning got outside soaking wet seconds POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
457323,1,"@tommcfly I have a video of the show in rio, you played so good!  ",MENTION video show rio played good POSITIVE POSITIVE POSITIVE POSITIVE
644791,1,Home with melissa. Crazy good night ,home melissa crazy good night POSITIVE POSITIVE POSITIVE POSITIVE
703752,1,"@rainnwilson - good! Somebody should. So many people don't, it's nice to know you want to be the one who does. ",MENTION good somebody many people not NEG_it NEG_is nice know want one POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
758901,0,trying out vidzone. its pretty good. but no more proggy artists? lil bit of a fail ,trying vidzone pretty good not NEG_more NEG_proggy artists lil bit fail POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
537909,1,@Kaye_Lovely you cant get hooked on good dick thats like trying to smoke crack one time and one time only lmfao ,MENTION not NEG_get NEG_hooked good dick thats like trying smoke crack one time one time lmfao POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
627670,1,"@TheFamulus I'm glad to hear you are well, M.  Here's to those improvements but in the short-term to good sleep ",MENTION glad hear well improvements shortterm good sleep POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
280231,1,@leetmarie Why I gotta be a jerk? But yeah...that 2nd part is good to know ,MENTION gotta jerk yeah nd part good know POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
622243,1,"@Kissmekayley i wouldn't be standing if i'd had that many,been a long time since i had a good drink,i'd probably be drunk after 2  xx",MENTION would not NEG_be NEG_standing would manybeen long time since good drinki would probably drunk POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
267509,0,@princess_9 Awwwwww Thats no good ,MENTION WEBSITE thats not NEG_good NEGATIVE NEGATIVE
672017,0,been in the hospital all day with my grandpa  things aren't looking good...,hospital grandpa things not NEG_laaughking NEG_good NEGATIVE NEGATIVE NEGATIVE NEGATIVE
582968,0,@__Gale__Girl__ OMG I feel the same way about qaf too! too bad it lasted for 5 seasons only!and the ending was really good but depressing ,MENTION omg feel way qaf bad lasted seasons onlyand ending really good depressing POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
585153,1,"@JoelMadden Good night to you, good morning to me! ",MENTION good night good morning POSITIVE POSITIVE POSITIVE POSITIVE
26274,1,Drunk @ beauty bar  good times will insue. Is that right? Insue? I can't think right now.,drunk beauty bar good times insue right insue ca not NEG_think NEG_right POSITIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE
97415,0,@Chad_Lad I am good thanks. working hard! the boss is in my office today  how are you?,MENTION good thanks working hard boss office today POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
725668,1,ooh just found a mini dairy milk bar  good times,found mini dairy milk bar good times POSITIVE POSITIVE
396817,0,"@TeamDLovato Ehm no i'm not so good at songs, i'm sorry! ",MENTION ehm not NEG_am NEG_not good songs sorry POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
320999,1,"Had another gd day, went to the fair and thn sat in the sun in abby park, good times  laters xx",another gd went fair thn sat sun abby park good times laters POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
357115,1,@feblub good morning! What's an English breakfast then? ,MENTION good morning english breakfast POSITIVE POSITIVE POSITIVE POSITIVE
428505,1,"@MsEDU oooh, did someone have a good weekend? Saw the &quot;trainer&quot; shoes. Lol They looked cute! I need to learn to walk in those. ",MENTION someone good weekend saw trainer shoes laugh laaughked cute need learn walk POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
651029,1,@nessiecullenxD aw..good to hear ,MENTION aw good hear POSITIVE NEGATIVE POSITIVE NEGATIVE
771568,1,@maenad_au have a good time for me! i'll be eating afghani food for my birfday ,MENTION good time eating afghani food birfday POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
143274,0,@uklocalcouncils I am lost. Please help me find a good home. ,MENTION lost please help find good home POSITIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE
